test_num,load_cycles,exec_cycles,unload_cycles,total_cycles,success
0,9,33132,5586,38727,1
1,9,33101,5586,38696,1
2,9,33055,5586,38650,1
3,9,32966,5586,38561,1
4,9,33068,5586,38663,1
5,9,33079,5586,38674,1
6,9,32995,5586,38590,1
7,9,33094,5586,38689,1
8,9,32979,5586,38574,1
9,9,32984,5586,38579,1
