test_num,load_pk_cycles,load_sig_cycles,load_msg_cycles,exec_cycles,total_cycles,success
0,869,21197,22,12156,34244,0
1,869,21191,36,12154,34250,0
2,869,21200,50,12146,34265,0
3,869,21195,62,12147,34273,0
4,869,21188,77,12144,34278,0
5,869,21183,91,12140,34283,0
6,869,21191,105,12142,34307,0
7,869,21190,117,12135,34311,0
8,869,21191,132,12141,34333,0
9,869,21190,179,12173,34411,0
