test_num,load_cycles,exec_cycles,unload_cycles,total_cycles,success
0,9,51163,5602,56774,1
1,9,51004,5602,56615,1
2,9,51033,5602,56644,1
3,9,51021,5602,56632,1
4,9,50924,5602,56535,1
5,9,50916,5602,56527,1
6,9,51079,5602,56690,1
7,9,50837,5602,56448,1
8,9,50983,5602,56594,1
9,9,50916,5602,56527,1
