test_num,total_cycles,rejects_count,success
0,268203, 22,1
1,24846,  0,1
2,24860,  0,1
3,135480, 10,1
4,46982,  2,1
5,91239,  6,1
6,46993,  2,1
7,35921,  1,1
8,113319,  8,1
9,146515, 11,1
