test_num,load_sk_cycles,load_msg_cycles,exec_cycles,unload_cycles,total_cycles,rejects_count,success
0,20195,22,170586,72,190875,8,0
1,20189,36,29488,72,49785,0,0
2,20198,50,29488,72,49808,0,0
3,20193,62,293655,72,313982,15,0
4,20186,77,328434,72,348769,15,0
5,20181,91,120541,72,140885,5,0
6,20189,105,45932,72,66298,1,0
7,20188,117,66787,72,87164,2,0
8,20189,132,29468,72,49861,0,0
9,20188,179,71273,72,91712,2,0
