test_num,load_pk_cycles,load_sig_cycles,load_msg_cycles,exec_cycles,total_cycles,success
0,1157,37975,22,16529,55683,0
1,1157,37957,36,16520,55670,0
2,1157,37980,50,16520,55707,0
3,1157,37957,62,16527,55703,0
4,1157,37963,77,16524,55721,0
5,1157,37941,91,16517,55706,0
6,1157,37990,105,16518,55770,0
7,1157,37950,117,16521,55745,0
8,1157,37953,132,16510,55752,0
9,1157,37956,179,16541,55833,0
