test_num,load_sk_cycles,load_msg_cycles,exec_cycles,unload_cycles,total_cycles,rejects_count,success
0,11056,22,189136,100,200314,12,0
1,11044,36,100585,100,111765,6,0
2,11061,50,128311,100,139522,8,0
3,11052,62,45506,100,56720,2,0
4,11057,77,75871,100,87105,4,0
5,11061,91,143868,100,155120,9,0
6,11064,105,100442,100,111711,6,0
7,11052,117,118893,100,130162,7,0
8,11056,132,75893,100,87181,4,0
9,11060,179,48642,100,59981,2,0
