test_num,total_cycles,rejects_count,success
0,10945,  0,1
1,22581,  2,1
2,22584,  2,1
3,16789,  1,1
4,22609,  2,1
5,10968,  0,1
6,51722,  7,1
7,80847, 12,1
8,40090,  5,1
9,10987,  0,1
